,Normd: Averaged on Last Epoch,Std: Averaged on Last Epoch,Normd: Averaged Max Achieved,Std: Averaged Max Achieved,Normd: Overall Max on Last Epoch,Std: Overall Max on Last Epoch,Normd: Overall Max Achieved,Std: Overall Max Achieved,Overall Max
count,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
mean,95.08494117647058,96.71070588235295,96.74047058823528,96.93047058823531,95.50352941176472,96.90941176470588,97.02941176470587,97.16941176470587,97.24117647058824
std,5.837060181189117,1.6276102022868506,1.840265134350452,1.5411702581823596,5.015423637610873,1.504092212051155,1.6392279836413672,1.448924042989466,1.4652042620098287
min,75.464,91.64999999999999,92.496,92.154,78.45,92.28,92.75999999999999,92.67999999999999,92.75999999999999
25%,97.09199999999998,97.134,97.32,97.352,97.18,97.32,97.49,97.52,97.52
50%,97.412,97.306,97.55,97.46000000000001,97.52,97.47,97.76,97.64,97.77
75%,97.636,97.444,97.76599999999999,97.622,97.69,97.6,97.9,97.78999999999999,97.9
max,97.89999999999999,97.79199999999999,98.01599999999999,97.99000000000001,97.99,97.89,98.2,98.13,98.2
