,Activation,Optimizer,Dropout,Rate,Data type,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
27,selu,sgd,dropout,0.35,normd,95.182,95.182,95.26,95.26,99
177,sigmoid,sgd,dropout,0.35,std,95.09400000000001,95.09400000000001,95.22,95.22,99
30,selu,sgd,alpha_dropout,0.35,normd,95.024,95.024,95.19,95.19,99
33,selu,sgd,gaussian_dropout,0.35,normd,94.99000000000001,95.012,95.34,95.35,96
115,selu,Adamax,gaussian_dropout,0.7,std,94.906,94.906,95.11,95.11,99
121,selu,Adamax,gaussian_dropout,0.7,std,94.906,94.906,95.11,95.11,99
99,sigmoid,sgd,gaussian_noise,1.0,normd,94.844,94.858,94.96,94.96,98
75,sigmoid,sgd,no_dropout,0.0,normd,94.754,94.754,94.98,95.03,99
97,sigmoid,sgd,gaussian_noise,0.05,normd,94.44200000000001,94.44200000000001,94.54,94.54,99
171,sigmoid,Adamax,gaussian_dropout,0.7,std,94.162,94.18999999999998,94.31,94.39,97
165,sigmoid,Adamax,gaussian_dropout,0.7,std,94.162,94.18999999999998,94.31,94.39,97
178,sigmoid,sgd,dropout,0.5,std,94.18,94.18,94.33,94.33,99
91,sigmoid,sgd,dropout,0.1,normd,94.11999999999999,94.11999999999999,94.23,94.25,99
85,sigmoid,sgd,dropout,0.1,normd,94.11999999999999,94.11999999999999,94.23,94.25,99
198,sigmoid,sgd,gaussian_noise,0.5,std,94.102,94.11,94.46,94.46,98
142,selu,sgd,dropout,0.7,std,94.07600000000001,94.07600000000001,94.24,94.25,99
136,selu,sgd,dropout,0.7,std,94.07600000000001,94.07600000000001,94.24,94.25,99
95,sigmoid,sgd,gaussian_dropout,0.1,normd,94.06800000000001,94.06800000000001,94.32000000000001,94.32000000000001,99
89,sigmoid,sgd,gaussian_dropout,0.1,normd,94.06800000000001,94.06800000000001,94.32000000000001,94.32000000000001,99
167,sigmoid,Adamax,dropout,0.7,std,93.942,94.028,94.28,94.37,96
161,sigmoid,Adamax,dropout,0.7,std,93.942,94.028,94.28,94.37,96
184,sigmoid,sgd,gaussian_dropout,0.5,std,93.95,93.95,94.17999999999999,94.17999999999999,99
113,selu,Adamax,alpha_dropout,0.7,std,93.61,93.72999999999999,93.82000000000001,94.06,92
119,selu,Adamax,alpha_dropout,0.7,std,93.61,93.72999999999999,93.82000000000001,94.06,92
65,sigmoid,Adamax,gaussian_dropout,0.7,normd,93.692,93.708,93.89,93.97,97
71,sigmoid,Adamax,gaussian_dropout,0.7,normd,93.692,93.708,93.89,93.97,97
168,sigmoid,Adamax,alpha_dropout,0.1,std,93.636,93.69999999999999,93.92,93.97,96
162,sigmoid,Adamax,alpha_dropout,0.1,std,93.636,93.69999999999999,93.92,93.97,96
146,selu,sgd,gaussian_dropout,0.7,std,93.646,93.672,93.78,93.8,98
140,selu,sgd,gaussian_dropout,0.7,std,93.646,93.672,93.78,93.8,98
67,sigmoid,Adamax,dropout,0.7,normd,93.632,93.65400000000001,93.93,93.94,89
61,sigmoid,Adamax,dropout,0.7,normd,93.632,93.65400000000001,93.93,93.94,89
48,selu,sgd,gaussian_noise,0.5,normd,93.568,93.568,93.75,93.75,99
82,sigmoid,sgd,gaussian_dropout,0.2,normd,93.54599999999999,93.54599999999999,93.66,93.66,99
76,sigmoid,sgd,dropout,0.2,normd,93.542,93.542,93.66,93.66,99
28,selu,sgd,dropout,0.5,normd,93.43999999999998,93.508,93.65,93.71000000000001,95
68,sigmoid,Adamax,alpha_dropout,0.1,normd,93.476,93.496,93.69,93.69,98
62,sigmoid,Adamax,alpha_dropout,0.1,normd,93.476,93.496,93.69,93.69,98
34,selu,sgd,gaussian_dropout,0.5,normd,93.374,93.394,93.49,93.49,96
11,selu,Adamax,dropout,0.7,normd,93.24799999999999,93.32,93.47,93.53,96
17,selu,Adamax,dropout,0.7,normd,93.24799999999999,93.32,93.47,93.53,96
13,selu,Adamax,alpha_dropout,0.7,normd,92.902,93.088,93.14,93.32000000000001,91
19,selu,Adamax,alpha_dropout,0.7,normd,92.902,93.088,93.14,93.32000000000001,91
31,selu,sgd,alpha_dropout,0.5,normd,93.068,93.08399999999999,93.16,93.23,98
21,selu,Adamax,gaussian_dropout,0.7,normd,92.874,92.874,93.11,93.34,99
15,selu,Adamax,gaussian_dropout,0.7,normd,92.874,92.874,93.11,93.34,99
77,sigmoid,sgd,dropout,0.35,normd,92.538,92.538,92.74,92.74,99
83,sigmoid,sgd,gaussian_dropout,0.35,normd,92.522,92.522,92.75,92.75,99
144,selu,sgd,alpha_dropout,0.7,std,92.06200000000001,92.06200000000001,92.29,92.29,99
138,selu,sgd,alpha_dropout,0.7,std,92.06200000000001,92.06200000000001,92.29,92.29,99
42,selu,sgd,dropout,0.7,normd,91.468,91.52,91.74,91.75,93
36,selu,sgd,dropout,0.7,normd,91.468,91.52,91.74,91.75,93
186,sigmoid,sgd,dropout,0.7,std,91.456,91.456,91.77,91.77,99
192,sigmoid,sgd,dropout,0.7,std,91.456,91.456,91.77,91.77,99
46,selu,sgd,gaussian_dropout,0.7,normd,91.28399999999999,91.36800000000001,91.43,91.47,97
40,selu,sgd,gaussian_dropout,0.7,normd,91.28399999999999,91.36800000000001,91.43,91.47,97
78,sigmoid,sgd,dropout,0.5,normd,91.18,91.18,91.32000000000001,91.32000000000001,99
84,sigmoid,sgd,gaussian_dropout,0.5,normd,91.128,91.128,91.4,91.4,99
98,sigmoid,sgd,gaussian_noise,0.5,normd,91.056,91.056,91.13,91.2,99
190,sigmoid,sgd,gaussian_dropout,0.7,std,90.90599999999999,90.90599999999999,91.31,91.31,99
196,sigmoid,sgd,gaussian_dropout,0.7,std,90.90599999999999,90.90599999999999,91.31,91.31,99
193,sigmoid,sgd,alpha_dropout,0.1,std,89.664,89.664,90.08,90.08,99
187,sigmoid,sgd,alpha_dropout,0.1,std,89.664,89.664,90.08,90.08,99
54,sigmoid,Adamax,alpha_dropout,0.2,normd,88.73199999999999,89.116,89.82,89.87,98
38,selu,sgd,alpha_dropout,0.7,normd,87.594,87.66200000000002,88.81,88.81,98
44,selu,sgd,alpha_dropout,0.7,normd,87.594,87.66200000000002,88.81,88.81,98
154,sigmoid,Adamax,alpha_dropout,0.2,std,87.112,87.13999999999999,89.83,89.91,32
92,sigmoid,sgd,dropout,0.7,normd,86.8,86.8,87.31,87.31,99
86,sigmoid,sgd,dropout,0.7,normd,86.8,86.8,87.31,87.31,99
90,sigmoid,sgd,gaussian_dropout,0.7,normd,86.60399999999998,86.60400000000001,86.67,86.78,97
96,sigmoid,sgd,gaussian_dropout,0.7,normd,86.60399999999998,86.60400000000001,86.67,86.78,97
87,sigmoid,sgd,alpha_dropout,0.1,normd,78.69,78.69,82.80999999999999,82.85,99
93,sigmoid,sgd,alpha_dropout,0.1,normd,78.69,78.69,82.80999999999999,82.85,99
179,sigmoid,sgd,alpha_dropout,0.2,std,66.824,66.944,71.46000000000001,72.21,94
155,sigmoid,Adamax,alpha_dropout,0.35,std,53.132000000000005,64.412,64.27000000000001,68.87,0
163,sigmoid,Adamax,alpha_dropout,0.7,std,20.076,62.202,21.09,59.830000000000005,0
169,sigmoid,Adamax,alpha_dropout,0.7,std,20.076,62.202,21.09,59.830000000000005,0
156,sigmoid,Adamax,alpha_dropout,0.5,std,38.69,62.07800000000001,39.23,69.08,0
55,sigmoid,Adamax,alpha_dropout,0.35,normd,55.34,61.94,57.620000000000005,65.2,0
56,sigmoid,Adamax,alpha_dropout,0.5,normd,36.13,49.922000000000004,46.58,54.29999999999999,0
79,sigmoid,sgd,alpha_dropout,0.2,normd,45.58,45.58,49.88,49.88,99
69,sigmoid,Adamax,alpha_dropout,0.7,normd,20.671999999999997,38.507999999999996,21.060000000000002,45.989999999999995,0
63,sigmoid,Adamax,alpha_dropout,0.7,normd,20.671999999999997,38.507999999999996,21.060000000000002,45.989999999999995,0
180,sigmoid,sgd,alpha_dropout,0.35,std,36.904,37.34,47.52,49.15,79
181,sigmoid,sgd,alpha_dropout,0.5,std,25.604,36.634,30.75,45.75,54
80,sigmoid,sgd,alpha_dropout,0.35,normd,27.999999999999996,27.999999999999996,32.3,37.76,99
194,sigmoid,sgd,alpha_dropout,0.7,std,13.044,15.357999999999999,19.689999999999998,23.14,88
188,sigmoid,sgd,alpha_dropout,0.7,std,13.044,15.357999999999999,19.689999999999998,23.14,88
81,sigmoid,sgd,alpha_dropout,0.5,normd,11.35,12.786,11.35,18.81,75
88,sigmoid,sgd,alpha_dropout,0.7,normd,11.100000000000001,11.985999999999999,11.35,15.809999999999999,22
94,sigmoid,sgd,alpha_dropout,0.7,normd,11.100000000000001,11.985999999999999,11.35,15.809999999999999,22
