,Configuration,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
425,"Activation: LeakyReLU, Optimizer: sgd, Momentum: 0.990000, Decay: 0.000000, Nesterov: False, Normalized data",10.169999999999998,92.676,11.35,93.27,2
426,"Activation: LeakyReLU, Optimizer: sgd, Momentum: 0.999000, Decay: 0.000000, Nesterov: False, Normalized data",11.862000000000002,19.948,16.54,30.409999999999997,0
427,"Activation: LeakyReLU, Optimizer: sgd, Momentum: 0.000000, Decay: 0.000000, Nesterov: True, Normalized data",96.83800000000001,96.83800000000001,96.97,96.97,97
428,"Activation: LeakyReLU, Optimizer: sgd, Momentum: 0.100000, Decay: 0.000000, Nesterov: True, Normalized data",96.868,96.868,96.98,97.0,99
429,"Activation: LeakyReLU, Optimizer: sgd, Momentum: 0.900000, Decay: 0.000000, Nesterov: True, Normalized data",97.51199999999999,97.558,97.69,97.71,88
430,"Activation: LeakyReLU, Optimizer: sgd, Momentum: 0.950000, Decay: 0.000000, Nesterov: True, Normalized data",97.384,97.434,97.50999999999999,97.61999999999999,74
431,"Activation: LeakyReLU, Optimizer: sgd, Momentum: 0.990000, Decay: 0.000000, Nesterov: True, Normalized data",10.48,94.368,11.35,94.9,8
432,"Activation: LeakyReLU, Optimizer: sgd, Momentum: 0.999000, Decay: 0.000000, Nesterov: True, Normalized data",11.54,12.560000000000002,17.72,17.82,0
433,"Activation: LeakyReLU, Optimizer: rmsp, rho: 0.500000, Decay: 0.000000, Normalized data",96.488,96.60400000000001,96.64,96.8,95
434,"Activation: LeakyReLU, Optimizer: rmsp, rho: 0.990000, Decay: 0.000000, Normalized data",97.31,97.442,97.38,97.57000000000001,73
435,"Activation: LeakyReLU, Optimizer: rmsp, rho: 0.950000, Decay: 0.000000, Normalized data",97.38799999999999,97.38799999999999,97.61999999999999,97.65,99
436,"Activation: LeakyReLU, Optimizer: rmsp, rho: 0.999000, Decay: 0.000000, Normalized data",97.322,97.41199999999999,97.48,97.56,73
437,"Activation: LeakyReLU, Optimizer: rmsp, rho: 0.999900, Decay: 0.000000, Normalized data",97.19,97.31400000000001,97.42,97.57000000000001,63
438,"Activation: LeakyReLU, Optimizer: Adadelta, rho: 0.500000, Decay: 0.000000, Normalized data",96.85600000000001,96.948,96.93,97.11,98
439,"Activation: LeakyReLU, Optimizer: Adadelta, rho: 0.900000, Decay: 0.000000, Normalized data",97.34400000000001,97.37,97.52,97.56,98
440,"Activation: LeakyReLU, Optimizer: Adadelta, rho: 0.990000, Decay: 0.000000, Normalized data",97.47999999999999,97.554,97.7,97.76,94
441,"Activation: LeakyReLU, Optimizer: Adadelta, rho: 0.999000, Decay: 0.000000, Normalized data",96.702,96.922,96.91,97.33000000000001,96
442,"Activation: LeakyReLU, Optimizer: Adadelta, rho: 0.999900, Decay: 0.000000, Normalized data",35.958000000000006,93.97400000000002,45.2,95.91,5
443,"Activation: LeakyReLU, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.950000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.39999999999999,97.468,97.5,97.63,89
444,"Activation: LeakyReLU, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.900000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.406,97.42599999999999,97.48,97.59,78
445,"Activation: LeakyReLU, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.262,97.444,97.34,97.61999999999999,71
446,"Activation: LeakyReLU, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.900000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.378,97.438,97.45,97.59,82
447,"Activation: LeakyReLU, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.950000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.37199999999999,97.462,97.48,97.68,91
448,"Activation: LeakyReLU, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.900000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.332,97.42200000000001,97.38,97.54,78
449,"Activation: LeakyReLU, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.39800000000001,97.47999999999999,97.49,97.66,90
450,"Activation: LeakyReLU, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.900000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.324,97.438,97.47,97.58,53
451,"Activation: LeakyReLU, Optimizer: Adamax, beta_1: 0.990000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.42200000000001,97.454,97.54,97.56,79
452,"Activation: LeakyReLU, Optimizer: Adamax, beta_1: 0.990000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.434,97.462,97.59,97.59,97
453,"Activation: LeakyReLU, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.39000000000001,97.49000000000001,97.46000000000001,97.61999999999999,97
454,"Activation: LeakyReLU, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.990000, Decay: 0.000000, Normalized data",97.31400000000001,97.42599999999999,97.42,97.57000000000001,93
455,"Activation: LeakyReLU, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.950000, Decay: 0.000000, Normalized data",97.33000000000001,97.378,97.39,97.47,88
456,"Activation: LeakyReLU, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.900000, Decay: 0.000000, Normalized data",97.11399999999999,97.24600000000001,97.23,97.35000000000001,71
457,"Activation: LeakyReLU, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.990000, Decay: 0.000000, Normalized data",97.30000000000001,97.414,97.43,97.58,77
458,"Activation: LeakyReLU, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.950000, Decay: 0.000000, Normalized data",97.316,97.316,97.4,97.43,99
459,"Activation: LeakyReLU, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.990000, Schedule Decay: 0.004000, Normalized data",97.158,97.26799999999999,97.38,97.50999999999999,87
460,"Activation: LeakyReLU, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.999000, Schedule Decay: 0.004000, Normalized data",97.158,97.25800000000001,97.2,97.43,35
461,"Activation: LeakyReLU, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.990000, Schedule Decay: 0.004000, Normalized data",97.126,97.258,97.28999999999999,97.5,51
462,"Activation: LeakyReLU, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.950000, Schedule Decay: 0.004000, Normalized data",97.01599999999999,97.256,97.19,97.41,82
463,"Activation: LeakyReLU, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.900000, Schedule Decay: 0.004000, Normalized data",97.11800000000001,97.15199999999999,97.27,97.33000000000001,70
464,"Activation: LeakyReLU, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.900000, Schedule Decay: 0.004000, Normalized data",97.08200000000001,97.19200000000001,97.27,97.43,45
465,"Activation: LeakyReLU, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.950000, Schedule Decay: 0.004000, Normalized data",97.05199999999999,97.226,97.17,97.43,47
466,"Activation: ThresholdedReLU, Optimizer: sgd, Momentum: 0.100000, Decay: 0.000000, Nesterov: False, Normalized data",94.86399999999999,94.86399999999999,95.50999999999999,95.56,99
467,"Activation: ThresholdedReLU, Optimizer: sgd, Momentum: 0.900000, Decay: 0.000000, Nesterov: False, Normalized data",94.52999999999999,94.88,95.42,95.78999999999999,50
468,"Activation: ThresholdedReLU, Optimizer: sgd, Momentum: 0.950000, Decay: 0.000000, Nesterov: False, Normalized data",95.162,95.43599999999999,95.65,95.97,67
469,"Activation: ThresholdedReLU, Optimizer: sgd, Momentum: 0.990000, Decay: 0.000000, Nesterov: False, Normalized data",86.274,88.28800000000001,90.91,92.61,7
470,"Activation: ThresholdedReLU, Optimizer: sgd, Momentum: 0.999000, Decay: 0.000000, Nesterov: False, Normalized data",10.656000000000002,22.650000000000002,13.05,25.28,0
471,"Activation: ThresholdedReLU, Optimizer: sgd, Momentum: 0.000000, Decay: 0.000000, Nesterov: True, Normalized data",94.758,94.758,95.17,95.25,99
472,"Activation: ThresholdedReLU, Optimizer: sgd, Momentum: 0.100000, Decay: 0.000000, Nesterov: True, Normalized data",94.59199999999998,94.65400000000001,95.04,95.23,90
473,"Activation: ThresholdedReLU, Optimizer: sgd, Momentum: 0.900000, Decay: 0.000000, Nesterov: True, Normalized data",94.576,94.762,94.82000000000001,95.57,67
474,"Activation: ThresholdedReLU, Optimizer: sgd, Momentum: 0.950000, Decay: 0.000000, Nesterov: True, Normalized data",95.01800000000001,95.16600000000001,95.27,95.69,68
475,"Activation: ThresholdedReLU, Optimizer: sgd, Momentum: 0.990000, Decay: 0.000000, Nesterov: True, Normalized data",84.15199999999999,85.218,91.56,92.67,24
476,"Activation: ThresholdedReLU, Optimizer: sgd, Momentum: 0.999000, Decay: 0.000000, Nesterov: True, Normalized data",10.56,30.403999999999996,12.08,24.83,0
477,"Activation: ThresholdedReLU, Optimizer: rmsp, rho: 0.500000, Decay: 0.000000, Normalized data",91.002,94.72800000000001,92.14,95.30999999999999,7
478,"Activation: ThresholdedReLU, Optimizer: rmsp, rho: 0.990000, Decay: 0.000000, Normalized data",93.46799999999999,95.174,94.85,96.17999999999999,20
479,"Activation: ThresholdedReLU, Optimizer: rmsp, rho: 0.950000, Decay: 0.000000, Normalized data",91.144,95.854,92.15,96.1,7
480,"Activation: ThresholdedReLU, Optimizer: rmsp, rho: 0.999000, Decay: 0.000000, Normalized data",93.97399999999999,94.64,94.89,95.54,12
481,"Activation: ThresholdedReLU, Optimizer: rmsp, rho: 0.999900, Decay: 0.000000, Normalized data",88.138,89.25599999999999,93.12,93.97999999999999,27
482,"Activation: ThresholdedReLU, Optimizer: Adadelta, rho: 0.500000, Decay: 0.000000, Normalized data",95.658,95.734,96.28,96.44,72
483,"Activation: ThresholdedReLU, Optimizer: Adadelta, rho: 0.900000, Decay: 0.000000, Normalized data",95.85000000000001,96.21000000000001,96.09,96.58,45
484,"Activation: ThresholdedReLU, Optimizer: Adadelta, rho: 0.990000, Decay: 0.000000, Normalized data",95.704,96.036,95.97,96.52,40
485,"Activation: ThresholdedReLU, Optimizer: Adadelta, rho: 0.999000, Decay: 0.000000, Normalized data",95.852,96.08000000000001,96.05,96.4,72
486,"Activation: ThresholdedReLU, Optimizer: Adadelta, rho: 0.999900, Decay: 0.000000, Normalized data",94.25000000000001,94.526,94.8,95.43,36
487,"Activation: ThresholdedReLU, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.950000, beta_2: 0.999900, Decay: 0.000000, Normalized data",94.61999999999999,95.184,95.91,96.11,17
488,"Activation: ThresholdedReLU, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.900000, beta_2: 0.999000, Decay: 0.000000, Normalized data",95.34799999999998,95.856,95.73,96.34,16
489,"Activation: ThresholdedReLU, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",94.56200000000001,95.27999999999999,95.57,96.3,22
490,"Activation: ThresholdedReLU, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.900000, beta_2: 0.999900, Decay: 0.000000, Normalized data",94.80000000000001,95.456,95.72,96.28,17
491,"Activation: ThresholdedReLU, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.950000, beta_2: 0.999900, Decay: 0.000000, Normalized data",94.298,94.96400000000001,95.36,95.73,17
492,"Activation: ThresholdedReLU, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.900000, beta_2: 0.999000, Decay: 0.000000, Normalized data",95.222,95.744,96.08,96.53,16
493,"Activation: ThresholdedReLU, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",95.25399999999999,95.724,95.78,96.4,13
494,"Activation: ThresholdedReLU, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.900000, beta_2: 0.999900, Decay: 0.000000, Normalized data",95.34799999999998,95.728,95.59,96.02000000000001,31
495,"Activation: ThresholdedReLU, Optimizer: Adamax, beta_1: 0.990000, beta_2: 0.999900, Decay: 0.000000, Normalized data",95.052,95.41400000000002,96.34,96.39,32
496,"Activation: ThresholdedReLU, Optimizer: Adamax, beta_1: 0.990000, beta_2: 0.999000, Decay: 0.000000, Normalized data",95.04599999999999,95.58,95.25,95.85000000000001,38
497,"Activation: ThresholdedReLU, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",95.838,96.136,96.05,96.41999999999999,31
498,"Activation: ThresholdedReLU, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.990000, Decay: 0.000000, Normalized data",95.292,95.914,95.74000000000001,96.25,29
499,"Activation: ThresholdedReLU, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.950000, Decay: 0.000000, Normalized data",77.38199999999999,94.32199999999999,80.01,94.87,12
500,"Activation: ThresholdedReLU, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.900000, Decay: 0.000000, Normalized data",77.762,92.996,83.22,94.21000000000001,5
501,"Activation: ThresholdedReLU, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.990000, Decay: 0.000000, Normalized data",95.58200000000001,96.10600000000001,96.22,96.86,38
502,"Activation: ThresholdedReLU, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.950000, Decay: 0.000000, Normalized data",83.37999999999998,95.206,89.46,95.47,12
503,"Activation: ThresholdedReLU, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.990000, Schedule Decay: 0.004000, Normalized data",91.096,95.216,92.16,95.92,12
504,"Activation: ThresholdedReLU, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.999000, Schedule Decay: 0.004000, Normalized data",94.78,95.272,95.43,96.02000000000001,16
505,"Activation: ThresholdedReLU, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.990000, Schedule Decay: 0.004000, Normalized data",91.156,95.236,93.15,95.74000000000001,13
506,"Activation: ThresholdedReLU, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.950000, Schedule Decay: 0.004000, Normalized data",74.8,94.31200000000001,77.84,94.84,5
507,"Activation: ThresholdedReLU, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.900000, Schedule Decay: 0.004000, Normalized data",79.71600000000001,93.238,83.63000000000001,94.31,2
508,"Activation: ThresholdedReLU, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.900000, Schedule Decay: 0.004000, Normalized data",78.36200000000001,93.65200000000002,79.2,94.78999999999999,6
509,"Activation: ThresholdedReLU, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.950000, Schedule Decay: 0.004000, Normalized data",78.80999999999999,94.656,80.63,95.30999999999999,6
