,Configuration,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
301,"Activation: softplus, Optimizer: rmsp, rho: 0.500000, Decay: 0.000000, Normalized data",96.294,96.952,96.53,97.24000000000001,22
302,"Activation: softplus, Optimizer: rmsp, rho: 0.990000, Decay: 0.000000, Normalized data",97.712,97.86399999999999,97.75,98.00999999999999,47
303,"Activation: softplus, Optimizer: rmsp, rho: 0.950000, Decay: 0.000000, Normalized data",97.848,97.898,97.9,98.04,43
304,"Activation: softplus, Optimizer: rmsp, rho: 0.999000, Decay: 0.000000, Normalized data",97.778,97.88600000000001,97.86,98.02,58
305,"Activation: softplus, Optimizer: rmsp, rho: 0.999900, Decay: 0.000000, Normalized data",97.66199999999999,97.772,97.72,97.99,38
306,"Activation: softplus, Optimizer: Adadelta, rho: 0.500000, Decay: 0.000000, Normalized data",97.454,97.52199999999999,97.58,97.72,91
307,"Activation: softplus, Optimizer: Adadelta, rho: 0.900000, Decay: 0.000000, Normalized data",97.88600000000001,97.916,97.96000000000001,98.07000000000001,92
308,"Activation: softplus, Optimizer: Adadelta, rho: 0.990000, Decay: 0.000000, Normalized data",97.96199999999999,98.048,98.00999999999999,98.16,97
309,"Activation: softplus, Optimizer: Adadelta, rho: 0.999000, Decay: 0.000000, Normalized data",97.804,97.85600000000001,98.02,98.02,79
310,"Activation: softplus, Optimizer: Adadelta, rho: 0.999900, Decay: 0.000000, Normalized data",97.538,97.638,97.69,97.81,33
311,"Activation: softplus, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.950000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.732,97.82600000000001,97.8,98.00999999999999,74
312,"Activation: softplus, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.900000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.84200000000001,97.90199999999999,97.94,98.03,84
313,"Activation: softplus, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.762,97.864,97.85000000000001,98.04,60
314,"Activation: softplus, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.900000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.78799999999998,97.80799999999999,97.92,97.98,76
315,"Activation: softplus, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.950000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.78399999999999,97.85600000000001,97.86,98.0,56
316,"Activation: softplus, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.900000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.838,97.88,97.98,98.00999999999999,86
317,"Activation: softplus, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.796,97.862,97.85000000000001,97.99,49
318,"Activation: softplus, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.900000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.74800000000002,97.84599999999999,97.87,98.02,86
319,"Activation: softplus, Optimizer: Adamax, beta_1: 0.990000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.84,97.84,97.88,97.96000000000001,99
320,"Activation: softplus, Optimizer: Adamax, beta_1: 0.990000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.836,97.836,97.95,97.96000000000001,99
321,"Activation: softplus, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.916,97.94,98.02,98.04,98
322,"Activation: softplus, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.990000, Decay: 0.000000, Normalized data",97.908,97.94600000000001,98.05,98.13,84
323,"Activation: softplus, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.950000, Decay: 0.000000, Normalized data",97.654,97.822,97.71,98.0,47
324,"Activation: softplus, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.900000, Decay: 0.000000, Normalized data",97.198,97.718,97.41,97.88,21
325,"Activation: softplus, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.990000, Decay: 0.000000, Normalized data",97.942,97.98,98.1,98.1,95
