,Activation,Optimizer,Configuration,Data type,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
215,elu,rmsp,rho: 0.95,Normd,97.98,98.05399999999999,98.0,98.22,45
719,elu,sgd,"Momentum: 0.9, Nesterov: True",Std,97.95400000000001,98.05399999999999,98.19,98.26,71
229,elu,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.999",Normd,97.97200000000001,98.05199999999999,98.07000000000001,98.27,83
542,selu,Adadelta,Default,Std,97.998,98.05199999999999,98.16,98.19,63
308,softplus,Adadelta,rho: 0.99,Normd,97.96199999999999,98.048,98.00999999999999,98.16,97
223,elu,adam,"amsgrad: False, beta_1: 0.95, beta_2: 0.9999",Normd,97.92200000000001,98.046,98.0,98.18,79
741,elu,Adamax,"beta_1: 0.99, beta_2: 0.9999",Std,98.046,98.046,98.09,98.15,99
539,selu,adam,Default,Std,97.916,98.038,98.06,98.22999999999999,60
729,elu,Adadelta,rho: 0.9,Std,97.848,98.038,97.94,98.19,52
268,selu,adam,"amsgrad: False, beta_1: 0.9, beta_2: 0.999",Normd,97.98199999999999,98.03599999999999,98.16,98.22,78
784,selu,adam,"amsgrad: True, beta_1: 0.9, beta_2: 0.9999",Std,97.85199999999999,98.03200000000001,97.99,98.24000000000001,37
231,elu,Adamax,"beta_1: 0.99, beta_2: 0.9999",Normd,97.996,98.03200000000001,98.13,98.27,94
271,selu,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.9999",Normd,97.956,98.03200000000001,98.05,98.22999999999999,86
235,elu,Adamax,"beta_1: 0.95, beta_2: 0.95",Normd,97.90599999999999,98.026,97.98,98.17,68
738,elu,adam,"amsgrad: True, beta_1: 0.9, beta_2: 0.999",Std,97.894,98.022,98.0,98.17,39
226,elu,adam,"amsgrad: False, beta_1: 0.9, beta_2: 0.9999",Normd,97.936,98.02199999999999,97.99,98.17,75
777,selu,adam,"amsgrad: False, beta_1: 0.95, beta_2: 0.9999",Std,97.866,98.02,98.1,98.2,83
781,selu,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.9999",Std,97.976,98.018,98.03,98.16,93
21,elu,rmsp,Default,Normd,97.88,98.01599999999999,97.92999999999999,98.17,69
532,elu,adam,Default,Std,97.84199999999998,98.00799999999998,97.98,98.22,49
744,elu,Adamax,"beta_1: 0.95, beta_2: 0.99",Std,97.908,98.00799999999998,97.98,98.18,66
254,selu,sgd,"Momentum: 0.95, Nesterov: True",Normd,97.874,98.00600000000001,98.0,98.17,94
730,elu,Adadelta,rho: 0.99,Std,97.952,98.006,98.0,98.14,97
768,selu,rmsp,rho: 0.99,Std,97.912,98.006,97.95,98.17,75
743,elu,Adamax,"beta_1: 0.95, beta_2: 0.999",Std,97.97200000000001,98.004,98.09,98.15,78
538,selu,rmsp,Default,Std,97.86800000000001,98.002,98.08,98.17,33
770,selu,rmsp,rho: 0.999,Std,97.73400000000001,98.002,97.92999999999999,98.14,48
29,selu,adam,Default,Normd,97.988,98.002,98.08,98.22,94
713,elu,sgd,"Momentum: 0.9, Nesterov: False",Std,97.976,98.00000000000001,98.16,98.18,98
225,elu,adam,"amsgrad: False, beta_1: 0.95, beta_2: 0.999",Normd,97.94800000000001,97.998,98.11,98.24000000000001,50
778,selu,adam,"amsgrad: False, beta_1: 0.9, beta_2: 0.999",Std,97.85600000000001,97.99799999999999,98.0,98.18,42
260,selu,rmsp,rho: 0.999,Normd,97.942,97.99799999999999,98.06,98.19,77
270,selu,adam,"amsgrad: False, beta_1: 0.9, beta_2: 0.9999",Normd,97.97600000000001,97.99799999999999,98.06,98.2,86
238,elu,Adamax,"beta_1: 0.9, beta_2: 0.95",Normd,97.96199999999999,97.99799999999999,98.1,98.2,61
739,elu,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.999",Std,97.89000000000001,97.996,98.00999999999999,98.17,89
267,selu,adam,"amsgrad: False, beta_1: 0.95, beta_2: 0.9999",Normd,97.956,97.996,98.11,98.15,98
265,selu,Adadelta,rho: 0.999,Normd,97.96800000000002,97.994,98.09,98.2,96
258,selu,rmsp,rho: 0.99,Normd,97.896,97.994,97.97,98.13,98
248,selu,sgd,"Momentum: 0.95, Nesterov: False",Normd,97.97799999999998,97.994,98.07000000000001,98.21,95
737,elu,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.9999",Std,97.918,97.99200000000002,98.05,98.11999999999999,88
769,selu,rmsp,rho: 0.95,Std,97.82600000000001,97.99199999999999,97.97,98.32,49
247,selu,sgd,"Momentum: 0.9, Nesterov: False",Normd,97.99199999999999,97.99199999999999,98.15,98.15,99
279,selu,Adamax,"beta_1: 0.95, beta_2: 0.95",Normd,97.94599999999998,97.988,98.09,98.21,59
282,selu,Adamax,"beta_1: 0.9, beta_2: 0.95",Normd,97.924,97.986,98.00999999999999,98.14,92
779,selu,adam,"amsgrad: False, beta_1: 0.95, beta_2: 0.999",Std,97.87800000000001,97.986,98.0,98.22,68
735,elu,adam,"amsgrad: False, beta_1: 0.95, beta_2: 0.999",Std,97.83,97.986,97.99,98.11999999999999,50
273,selu,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.999",Normd,97.97,97.984,98.00999999999999,98.1,96
28,selu,rmsp,Default,Normd,97.89999999999999,97.98200000000001,97.99,98.2,80
32,selu,Adadelta,Default,Normd,97.89999999999999,97.98200000000001,98.02,98.13,97
25,elu,Adadelta,Default,Normd,97.944,97.98199999999999,98.03,98.11999999999999,97
241,elu,Nadam,"beta_1: 0.95, beta_2: 0.99",Normd,97.838,97.98199999999999,97.96000000000001,98.16,29
27,elu,Nadam,Default,Normd,97.88200000000002,97.98,98.02,98.21,19
325,softplus,Adamax,"beta_1: 0.9, beta_2: 0.99",Normd,97.942,97.98,98.1,98.1,95
792,selu,Adamax,"beta_1: 0.9, beta_2: 0.95",Std,97.87799999999999,97.97800000000001,98.02,98.16,37
278,selu,Adamax,"beta_1: 0.95, beta_2: 0.99",Normd,97.934,97.97399999999999,98.03,98.16,88
276,selu,Adamax,"beta_1: 0.99, beta_2: 0.999",Normd,97.96199999999999,97.97,98.03,98.11,95
269,selu,adam,"amsgrad: False, beta_1: 0.95, beta_2: 0.999",Normd,97.88399999999999,97.96999999999998,98.11,98.13,90
272,selu,adam,"amsgrad: True, beta_1: 0.9, beta_2: 0.999",Normd,97.918,97.96800000000002,98.0,98.09,97
281,selu,Adamax,"beta_1: 0.9, beta_2: 0.99",Normd,97.908,97.96799999999999,98.03,98.18,98
